concept_id,ar,datatyp,geografi,ssyk,bristvarde,ingress,stycke1,stycke2,stycke3
qn2U_dB9_Cmh,2022,Bristindex,Riket,2145,3.0," Det finns cirka 3900 yrkesverksamma civilingenjörer inom kemi och kemiteknik i Sverige, varav cirka 45 procent är kvinnor och 55 procent är män.","Arbetsförmedlingen bedömer att det kommer vara konkurrens om jobben för civilingenjörer inom kemi och kemiteknik under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha små till medelstora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för civilingenjörer inom kemi och kemiteknik kommer vara små till medelstora. Yrket kräver att du har en specifik utbildning.,
qn2U_dB9_Cmh,2026,Bristindex,Riket,2145,3.0," Det finns cirka 3900 yrkesverksamma civilingenjörer inom kemi och kemiteknik i Sverige, varav cirka 45 procent är kvinnor och 55 procent är män.","Arbetsförmedlingen bedömer att det kommer vara konkurrens om jobben för civilingenjörer inom kemi och kemiteknik under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha små till medelstora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för civilingenjörer inom kemi och kemiteknik kommer vara små till medelstora. Yrket kräver att du har en specifik utbildning.,
41KB_bfk_5jR,2022,Bristindex,Riket,2161,4.0," Det finns cirka 7000 yrkesverksamma arkitekter i Sverige, varav cirka 54 procent är kvinnor och 46 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för arkitekter under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för arkitekter kommer vara stora. Yrket kräver att du har en specifik utbildning.,
41KB_bfk_5jR,2026,Bristindex,Riket,2161,4.0," Det finns cirka 7000 yrkesverksamma arkitekter i Sverige, varav cirka 54 procent är kvinnor och 46 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för arkitekter under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för arkitekter kommer vara stora. Yrket kräver att du har en specifik utbildning.,
Pd51_xnr_KCY,2022,Bristindex,Riket,2163,4.0," Det finns cirka 3300 yrkesverksamma stadsplanerare och planeringsarkitekter i Sverige, varav cirka 59 procent är kvinnor och 41 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för stadsplanerare och planeringsarkitekter under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för stadsplanerare och planeringsarkitekter kommer vara stora. ,
Pd51_xnr_KCY,2026,Bristindex,Riket,2163,4.0," Det finns cirka 3300 yrkesverksamma stadsplanerare och planeringsarkitekter i Sverige, varav cirka 59 procent är kvinnor och 41 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för stadsplanerare och planeringsarkitekter under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för stadsplanerare och planeringsarkitekter kommer vara stora. ,
8Bmh_vtM_zts,2022,Bristindex,Riket,2172,3.0," Det finns cirka 7700 yrkesverksamma grafiska formgivare i Sverige, varav cirka 47 procent är kvinnor och 53 procent är män.","Arbetsförmedlingen bedömer att det kommer vara konkurrens om jobben för grafiska formgivare under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha små till medelstora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för grafiska formgivare kommer vara små till medelstora. ,
8Bmh_vtM_zts,2026,Bristindex,Riket,2172,3.0," Det finns cirka 7700 yrkesverksamma grafiska formgivare i Sverige, varav cirka 47 procent är kvinnor och 53 procent är män.","Arbetsförmedlingen bedömer att det kommer vara konkurrens om jobben för grafiska formgivare under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha små till medelstora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för grafiska formgivare kommer vara små till medelstora. ,
Mbt6_3ko_DiD,2022,Bristindex,Riket,2173,4.0,"Bedömningen för designer och utvecklare inom spel och digitala medier är en samlad bedömning för designer inom spel och digitala medier, utvecklare inom spel och digitala media. Det finns cirka 6500 yrkesverksamma designer och utvecklare inom spel och digitala medier i Sverige, varav cirka 21 procent är kvinnor och 79 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för designer och utvecklare inom spel och digitala medier under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",På fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för designer och utvecklare inom spel och digitala medier kommer vara mycket stora. ,
Mbt6_3ko_DiD,2026,Bristindex,Riket,2173,5.0,"Bedömningen för designer och utvecklare inom spel och digitala medier är en samlad bedömning för designer inom spel och digitala medier, utvecklare inom spel och digitala media. Det finns cirka 6500 yrkesverksamma designer och utvecklare inom spel och digitala medier i Sverige, varav cirka 21 procent är kvinnor och 79 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för designer och utvecklare inom spel och digitala medier under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",På fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för designer och utvecklare inom spel och digitala medier kommer vara mycket stora. ,
puim_6PY_DGj,2022,Bristindex,Riket,2182,5.0," Det finns cirka 4000 yrkesverksamma miljö- och hälsoskyddsinspektörer i Sverige, varav cirka 71 procent är kvinnor och 29 procent är män.","Arbetsförmedlingen bedömer att det kommer vara mycket liten konkurrens om jobben för miljö- och hälsoskyddsinspektörer under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha mycket stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för miljö- och hälsoskyddsinspektörer kommer vara mycket stora. ,
puim_6PY_DGj,2026,Bristindex,Riket,2182,5.0," Det finns cirka 4000 yrkesverksamma miljö- och hälsoskyddsinspektörer i Sverige, varav cirka 71 procent är kvinnor och 29 procent är män.","Arbetsförmedlingen bedömer att det kommer vara mycket liten konkurrens om jobben för miljö- och hälsoskyddsinspektörer under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha mycket stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för miljö- och hälsoskyddsinspektörer kommer vara mycket stora. ,
rE1E_m3d_cx1,2022,Bristindex,Riket,2183,4.0," Det finns cirka 3400 yrkesverksamma specialister inom miljöskydd och miljöteknik i Sverige, varav cirka 57 procent är kvinnor och 43 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för specialister inom miljöskydd och miljöteknik under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för specialister inom miljöskydd och miljöteknik kommer vara stora. ,
rE1E_m3d_cx1,2026,Bristindex,Riket,2183,4.0," Det finns cirka 3400 yrkesverksamma specialister inom miljöskydd och miljöteknik i Sverige, varav cirka 57 procent är kvinnor och 43 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för specialister inom miljöskydd och miljöteknik under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för specialister inom miljöskydd och miljöteknik kommer vara stora. ,
nu7c_QuB_KVQ,2022,Bristindex,Riket,2211,5.0," Det finns cirka 26800 yrkesverksamma specialistläkare i Sverige, varav cirka 50 procent är kvinnor och 50 procent är män.","Arbetsförmedlingen bedömer att det kommer vara mycket liten konkurrens om jobben för specialistläkare under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha mycket stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för specialistläkare kommer vara mycket stora. Yrkes kräver legitimation.,
nu7c_QuB_KVQ,2026,Bristindex,Riket,2211,5.0," Det finns cirka 26800 yrkesverksamma specialistläkare i Sverige, varav cirka 50 procent är kvinnor och 50 procent är män.","Arbetsförmedlingen bedömer att det kommer vara mycket liten konkurrens om jobben för specialistläkare under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha mycket stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för specialistläkare kommer vara mycket stora. Yrkes kräver legitimation.,
seu9_VoQ_VNo,2022,Bristindex,Riket,2212,4.0,"Bedömningen för läkare utan specialistutbildning är en samlad bedömning för övriga läkare, st-läkare, at-läkare. Det finns cirka 18100 yrkesverksamma läkare utan specialistutbildning i Sverige, varav cirka 56 procent är kvinnor och 44 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för läkare utan specialistutbildning under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för läkare utan specialistutbildning kommer vara stora. Yrkes kräver legitimation.,
seu9_VoQ_VNo,2026,Bristindex,Riket,2212,4.0,"Bedömningen för läkare utan specialistutbildning är en samlad bedömning för övriga läkare, st-läkare, at-läkare. Det finns cirka 18100 yrkesverksamma läkare utan specialistutbildning i Sverige, varav cirka 56 procent är kvinnor och 44 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för läkare utan specialistutbildning under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för läkare utan specialistutbildning kommer vara stora. Yrkes kräver legitimation.,
ek9W_qqp_XpF,2022,Bristindex,Riket,2213,4.0,"Bedömningen för läkare utan specialistutbildning är en samlad bedömning för övriga läkare, st-läkare, at-läkare. Det finns cirka 18100 yrkesverksamma läkare utan specialistutbildning i Sverige, varav cirka 56 procent är kvinnor och 44 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för läkare utan specialistutbildning under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för läkare utan specialistutbildning kommer vara stora. Yrkes kräver legitimation.,
ek9W_qqp_XpF,2026,Bristindex,Riket,2213,4.0,"Bedömningen för läkare utan specialistutbildning är en samlad bedömning för övriga läkare, st-läkare, at-läkare. Det finns cirka 18100 yrkesverksamma läkare utan specialistutbildning i Sverige, varav cirka 56 procent är kvinnor och 44 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för läkare utan specialistutbildning under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för läkare utan specialistutbildning kommer vara stora. Yrkes kräver legitimation.,
gXqW_s5Q_ZjN,2022,Bristindex,Riket,2219,4.0,"Bedömningen för läkare utan specialistutbildning är en samlad bedömning för övriga läkare, st-läkare, at-läkare. Det finns cirka 18100 yrkesverksamma läkare utan specialistutbildning i Sverige, varav cirka 56 procent är kvinnor och 44 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för läkare utan specialistutbildning under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för läkare utan specialistutbildning kommer vara stora. Yrkes kräver legitimation.,
gXqW_s5Q_ZjN,2026,Bristindex,Riket,2219,4.0,"Bedömningen för läkare utan specialistutbildning är en samlad bedömning för övriga läkare, st-läkare, at-läkare. Det finns cirka 18100 yrkesverksamma läkare utan specialistutbildning i Sverige, varav cirka 56 procent är kvinnor och 44 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för läkare utan specialistutbildning under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för läkare utan specialistutbildning kommer vara stora. Yrkes kräver legitimation.,
Z8ci_bBE_tmx,2022,Bristindex,Riket,2221,4.0,"Bedömningen för grundutbildade sjuksköterskor är en samlad bedömning för grundutbildade sjuksköterskor, företagssköterskor. Det finns cirka 49900 yrkesverksamma grundutbildade sjuksköterskor i Sverige, varav cirka 89 procent är kvinnor och 11 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för grundutbildade sjuksköterskor under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för grundutbildade sjuksköterskor kommer vara stora. Yrkes kräver legitimation.,
Z8ci_bBE_tmx,2026,Bristindex,Riket,2221,4.0,"Bedömningen för grundutbildade sjuksköterskor är en samlad bedömning för grundutbildade sjuksköterskor, företagssköterskor. Det finns cirka 49900 yrkesverksamma grundutbildade sjuksköterskor i Sverige, varav cirka 89 procent är kvinnor och 11 procent är män.","Arbetsförmedlingen bedömer att det kommer vara liten konkurrens om jobben för grundutbildade sjuksköterskor under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för grundutbildade sjuksköterskor kommer vara stora. Yrkes kräver legitimation.,
7XXd_4St_nit,2022,Bristindex,Riket,2222,5.0," Det finns cirka 6500 yrkesverksamma barnmorskor i Sverige, varav cirka 100 procent är kvinnor och 0 procent är män.","Arbetsförmedlingen bedömer att det kommer vara mycket liten konkurrens om jobben för barnmorskor under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha mycket stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för barnmorskor kommer vara mycket stora. Yrkes kräver legitimation.,
7XXd_4St_nit,2026,Bristindex,Riket,2222,5.0," Det finns cirka 6500 yrkesverksamma barnmorskor i Sverige, varav cirka 100 procent är kvinnor och 0 procent är män.","Arbetsförmedlingen bedömer att det kommer vara mycket liten konkurrens om jobben för barnmorskor under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha mycket stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för barnmorskor kommer vara mycket stora. Yrkes kräver legitimation.,
nrVt_xUL_KdQ,2022,Bristindex,Riket,2223,5.0,"Bedömningen för sjuksköterskor inom akutsjukvård är en samlad bedömning för anestesisjuksköterskor, intensivvårdssjuksköterskor, ambulanssjuksköterskor m.fl.. Det finns cirka 10100 yrkesverksamma sjuksköterskor inom akutsjukvård i Sverige, varav cirka 70 procent är kvinnor och 30 procent är män.","Arbetsförmedlingen bedömer att det kommer vara mycket liten konkurrens om jobben för sjuksköterskor inom akutsjukvård under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha mycket stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för sjuksköterskor inom akutsjukvård kommer vara mycket stora. Yrkes kräver legitimation.,
nrVt_xUL_KdQ,2026,Bristindex,Riket,2223,5.0,"Bedömningen för sjuksköterskor inom akutsjukvård är en samlad bedömning för anestesisjuksköterskor, intensivvårdssjuksköterskor, ambulanssjuksköterskor m.fl.. Det finns cirka 10100 yrkesverksamma sjuksköterskor inom akutsjukvård i Sverige, varav cirka 70 procent är kvinnor och 30 procent är män.","Arbetsförmedlingen bedömer att det kommer vara mycket liten konkurrens om jobben för sjuksköterskor inom akutsjukvård under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha mycket stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för sjuksköterskor inom akutsjukvård kommer vara mycket stora. Yrkes kräver legitimation.,
oj4c_P4b_cja,2022,Bristindex,Riket,2224,5.0," Det finns cirka 8200 yrkesverksamma distriktssköterskor i Sverige, varav cirka 97 procent är kvinnor och 3 procent är män.","Arbetsförmedlingen bedömer att det kommer vara mycket liten konkurrens om jobben för distriktssköterskor under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha mycket stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för distriktssköterskor kommer vara mycket stora. Yrkes kräver legitimation.,
oj4c_P4b_cja,2026,Bristindex,Riket,2224,5.0," Det finns cirka 8200 yrkesverksamma distriktssköterskor i Sverige, varav cirka 97 procent är kvinnor och 3 procent är män.","Arbetsförmedlingen bedömer att det kommer vara mycket liten konkurrens om jobben för distriktssköterskor under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha mycket stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för distriktssköterskor kommer vara mycket stora. Yrkes kräver legitimation.,
bEDv_SL7_VrL,2022,Bristindex,Riket,2225,5.0," Det finns cirka 3600 yrkesverksamma psykiatrisjuksköterskor i Sverige, varav cirka 79 procent är kvinnor och 21 procent är män.","Arbetsförmedlingen bedömer att det kommer vara mycket liten konkurrens om jobben för psykiatrisjuksköterskor under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha mycket stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för psykiatrisjuksköterskor kommer vara mycket stora. Yrkes kräver legitimation.,
bEDv_SL7_VrL,2026,Bristindex,Riket,2225,5.0," Det finns cirka 3600 yrkesverksamma psykiatrisjuksköterskor i Sverige, varav cirka 79 procent är kvinnor och 21 procent är män.","Arbetsförmedlingen bedömer att det kommer vara mycket liten konkurrens om jobben för psykiatrisjuksköterskor under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha mycket stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för psykiatrisjuksköterskor kommer vara mycket stora. Yrkes kräver legitimation.,
PHJN_fva_yxs,2022,Bristindex,Riket,2226,5.0,"Bedömningen för sjuksköterskor inom akutsjukvård är en samlad bedömning för anestesisjuksköterskor, intensivvårdssjuksköterskor, ambulanssjuksköterskor m.fl.. Det finns cirka 10100 yrkesverksamma sjuksköterskor inom akutsjukvård i Sverige, varav cirka 70 procent är kvinnor och 30 procent är män.","Arbetsförmedlingen bedömer att det kommer vara mycket liten konkurrens om jobben för sjuksköterskor inom akutsjukvård under det närmaste året. Det innebär att personer som har den utbildning eller erfarenhet som krävs kommer ha mycket stora möjligheter till arbete, men beroende på inriktning inom yrket kan arbetsmarknaden variera.",Även på fem års sikt bedömer Arbetsförmedlingen att möjligheterna till arbete för sjuksköterskor inom akutsjukvård kommer vara mycket stora. Yrkes kräver legitimation.,
