,occupation.label,employer.name,description.text
1725,Systemutvecklare/Programmerare,Altran Sverige AB,"Our offer
Som konsult hos på Capgemini Engineering är du en del av något större. I divisionen Industry ryms många kunder och branscher – Telecom- och försvarsindustrin är där vi är störst lokalt i Göteborg men vi har många spännande kunder inom en rad sektorer som exempelvis Railway, Manufacturing och klassisk industri. 
5G, IoT, Radarsystem, Big Data, Machine Learning och Cyber Security är några av våra verksamhetsområden som du sannolikt kommer att arbeta med. Uppdragen tillsätts främst ute hos kund men även i form av interna projekt. I divisionen, som i Göteborg består av ca 40 medarbetare, har vi ett brett spann av olika kompetenser representerade, vilket borgar för goda möjligheter att lära av dina kollegor – både på djupet och på bredden.
God kollegial stämning och närvarande chefer som ser som sin uppgift att underlätta för konsulterna präglar verksamheten, allt i linje med Capgemini Engineering`s värderingar – Ambition & Care. Vi arbetar för att främja delaktighet och arrangerar bland annat kontinuerligt gemensamma luncher, frukostar, After Works, sportevent med mera.
Your role
Arbetsspråket kan mycket väl vara engelska.
Är du mer erfaren och går ut på uppdrag till en mindre kund kan du förväntas dela dina erfarenheter och hjälpa till att implementera processer och metoder hos kund.
Vi söker dig som har en öppen personlighet och är intresserad av att arbeta med moderna tekniker och verktyg. Stora och komplexa produkter med flera tusen rader kod, begrepp som testdriven utveckling, parprogrammering och kontinuerlig integration skrämmer inte utan lockar.
I Göteborg har vi fler än 50 potentiella kundprojekt att jobba med och vår ambition är att du väljer ditt nästa uppdrag, inte att kunden väljer dig.
Your profile
·        För ett antal olika kunder i Göteborg så söker vi dig som är passionerad för programmering inom inbyggda system.
·        Du har erfarenhet från utveckling av lågnivåprogrammering och mikroprocessorer, gärna i en realtidsmiljö.
·        Utbildning inom datavetenskap, datateknik eller motsvarande alternativt dokumenterad erfarenhet av produktbolag
·        Minst 2 års erfarenhet av realtid/lågnivå utveckling i C eller C++.
·        En bra förståelse för nätverksprotokoll och felsökning (Ethernet, TCP/IP, etc.)
·        God förståelse för Scrum och Continous Integration och Continous Deployment
·        Kommunicerar obehindrat på både svenska och engelska
Extra önskvärt är:
Erfarenheter ifrån telekom, industrin eller försvarsbranschen anses mycket meriterande och att det är branscher du vill arbeta med.
Ansökan och kontakt
Urval och intervjuer sker löpande.

Vi undanber oss vänligen men bestämt direktkontakt med bemannings-, förmedlings- och rekryteringsföretag samt andra externa aktörer och försäljare av ytterligare jobbannonser."
1738,Mjukvaruutvecklare,Framtiden i Sverige AB,"Nu söker vi en junior mjukvaruutvecklare!

Har du ett genuint intresse för programmering och dessutom av robotik och autonoma system? Sök denna tjänst redan idag eller tipsa en vän!


DINA ARBETSUPPGIFTER
Som mjukvaruutvecklare kommer du arbeta främst med inbyggda system och i programmeringsspråk som C, C++ eller Python. Man arbetar i projekt både
inhouse på kontoret men kan även komma att sitta direkt hos deras kunder.


OM FÖRETAGET
Vår kund är ett konsultbolag som strävar emot att bli den naturliga partnern tillsina kunder i regionen. Nu efter ungefär 5 år så har dem cirka
100 uppdrag igång och omsätter runt 100 miljoner inom verksamhetsområden som, projektledning, produktionsteknik, konstruktion, automation, elkraft
samt elektrifiering. På företagets industry avdelning är dem idag ungefär 300 personer anställda runtom i Sverige.

DIN PROFIL
Vi ser att du som söker denna tjänst har ett stort intresse för programmering och robotik. Ett genuint intresse för utveckling och autonoma system.
Vi ser också att du även skall ha någon form av eftergymnasial utbildning inom robotik, tekniskfysik eller andra utbildningar med inriktning mot programmering.

KOMPETENSKRAV
Eftergymnasial utbildning med inriktning programmering
C, C++ och/eller Python

​MERITERANDE
MatLab Simulink

OM OSS
Som anställd på Framtiden AB kan du känna dig trygg. Samtliga av våra tjänster omfattas av kollektivavtal vilket ger dig avtalsenliga villkor gällande semester, lön, pension, sjukfrånvaro etc. Som anställd på Framtiden får du alltid en personalansvarig som finns tillgänglig för dig under hela anställningsperioden. Personalansvarig har som uppgift att
hjälpa dig att utvecklas i din yrkesroll samt att säkerställa att du trivs på din arbetsplats.
Framtiden arbetar med både bemanning och rekrytering, vi vill göra skillnad i människors liv. Skillnad gör vi genom att hjälpa människor att hitta rätt jobb och rätt kollega. Vi är specialister på att rekrytera rätt talanger till rätt företag. Framtiden finns på sju orter i Sverige samt i Oslo. För denna tjänst kommer du vara anställd av oss på Framtiden och arbeta som konsult hos ett av våra kundföretag.

VILLKOR
Startdatum:  Enligt överenskommelse
Arbetstider: Flexibelt
Omfattning:  100%"
1751,Systemutvecklare/Programmerare,Tng Group AB,"Welcome as a web developer to SVT Play in Stockholm!

For one week, SVT Play has almost 50 % of Sweden’s population as visitors to their site. This is a unique opportunity to be a part of a tight collaborating agile team where you as a web developer will have great opportunity to develop yourself further as well as impact and influence one of Sweden´s most used streaming service.

THE OPPORTUNITY

At SVT Play you will have a varied and eventful days while working on one of Sweden´s most famous brands. Right now, there is an exciting time to join since more and more people are consuming television online.

In addition, we offer you:

 • Work in close collaboration with a team which is characterized by a strong team spirit. They are often working with MOB-programming and have a wide knowledge and are experienced within full stack development, accessibility, and streaming.

 • Last but not least; at SVT, you´ll get a unique employer with a meaningful Public Service mission and a high commitment among its employees

YOUR CHALLENGE

In the position as a web developer you will work with React.js, Node.js and TypeScirpt. You will work with both livestream material and VOD (video-on-demand). SVT Plays video format is HLS and DASH. In the team, you will get the opportunity to develop both new, exciting concepts while maintaining the existing solution, solving related bugs, and optimizing the viewing experience.

Your daily work will include:

 • Develop a modern web player where you will have great opportunities to contribute with your own ideas
 • Work with new technology
 • Work in a tight collaboration with other functions at SVT to ensure a world-class web player!

THE TEAM AND WORK PLACE

Today, the team consist of five persons: one Product Owner, three developers and one test- and quality manager. In addition to the web video player (used by all SVT´s services), the team is also responsible for the playback at Chromecast and Google Home. At SVT Play, they are working in tight collaboration with Play Webb, which are responsible of play.se, Video Core which encodes video, and DataOps which handles SVTs internal measurements. At SVT we strongly value creative freedom and encourage you to freely express your ideas. Most important for us is your wellbeing and that you can thrive, feel good and have fun at work.. SVT are located at the SVT-building at Gärdet in Stockholm.

ABOUT YOU

We are looking for a person who can challenge us with new perspective! You have a great understanding of modern development and a great interest in technology. In terms of personality, you thrive to work together with others, are curious and strive to develop. You are creative and contributes with your own ideas. Technically, you have previous experience and knowledge in React.js development and Node.js. If you also have experience of HLS and DASH, that´s seen as an advantage. We would also like if you have an interest in streaming, audio and video.

LET´S CONNECT
Their recruitment process focuses on transparency, inclusion and a fast moving candidate experience. And now we want to know more about you – on your own terms! You can then, in real-time, follow your application online as our recruiters are working with it. We work with a continues selection process which means we might hire a candidate before the final apply date, so apply already today! Interested and want to know more? Please contact our recruiter today. We are looking forward to connecting soon!"
1771,Mjukvaruutvecklare,SAAB AB,"Vill du jobba med mjukvaruutveckling i framkant och samtidigt vara en del av ett internationellt industriprojekt med spjutspetsteknologi? Då är detta ett jobb för dig!



Området Markstödsystem inom Aeronautics utvecklar stödsystem till bland annat Gripen. Mission Support System (MSS) är ett av dessa och är Gripens taktiska planerings- och utvärderingssystem. MSS består bland annat av en rad applikationer som körs på en kraftfull PC. I systemet kan piloten exempelvis hantera ordrar, skapa rutter, planera kommunikation, sensorer och få stöd att göra bränsleberäkningar. När planeringen är klar laddas uppdraget till flygplanet. När planet landar igen utvärderas det inspelade uppdraget, och man kan analysera data från planets sensorer och skapa rapporter. Att MSS fungerar bra är en förutsättning för ett lyckat flyguppdrag. Systemet är idag operativt hos kunder i flera olika länder.

I ditt jobb som utvecklare kommer du arbeta med hela utvecklingskedjan. Från koncept, design och programmering, till leverans av färdig produkt. Du kommer att ha gränssnitt mot interna och externa kunder och arbeta tillsammans med dem för att täcka deras behov. Utifrån dina kompetenser och önskemål samt projektets behov formas din roll i projektet.

För att kunna fortsätta vara ett teknikföretag i framkant lägger vi stor vikt på personlig utveckling och vidareutbildning. För den som vill finns tydliga karriärvägar och goda möjligheter att utvecklas både teknisk och ledarskapsmässigt, som till exempel mot senior utvecklare, teknisk ledning, projektledning och chef

Du är en engagerad och social utvecklare som trivs med att jobba i team. Du är initiativrik, gillar att ha varierande arbetsuppgifter och att lära dig nya saker samt komma till avslut.



Vi värderar även egna fritidsprojekt inom mjukvaruutveckling. 



Lämplig utbildning är en högskoleutbildning inriktad mot mjukvaruutveckling, ex civilingenjör datorteknik, högskoleingenjör datorteknik, systemutvecklare etc. Erfarenhet av C#/C++, Qt, Visual Studio/Eclipse och agila utvecklingmetodiker som Scrum är meriterande.



Befattningen kräver att du genomgår och godkänns enligt vid var tid gällande bestämmelser för säkerhetsskydd. 







Affärsområdet Aeronautics är en innovativ leverantör av flygplanssystem i världsklass och har ett brett utbud av supportlösningar inom civil och militär luftfart.

Inom affärsområdet bedrivs forskning, utveckling och produktion av militära flygplanssystem samt framtidsstudier som förberedelse för framtida bemannade och obemannade flygsystem och vidareutveckling av befintliga produkter.

Verksamheten bedrivs i Sverige, Brasilien, Norge, Pakistan, Saudiarabien, Förenade Arabemiraten och USA."
1783,Mjukvaruutvecklare,Pierce AB,"Backend developer
As a Java Developer in our Enterprise Information Management (EIM) team, you would use your skills to improve our IT landscape and influence our growth. As we continue moving towards a process-driven and scalable organization, part of our success has been a strong entrepreneurial spirit and we have now reached the point where we are working on becoming fully scalable. Does this sound like it might interest you? Keep on reading!

Who are we?
We focus on gear and accessories within Motocross, Motorcycles, and Snowmobiles and the company is currently in an amazing growth support, growing by 30% annually!

At the beginning of 2009 we were a team of 4, today we have a local presence in 17 European markets with over 400 employees, 5 offices in Sweden, Spain, and Poland. 


We are currently working on several initiatives within the whole organization around product information and pricing, performance and stability, and scalable initiatives. 

In this role, you will work closely with other java developers and get to experience your coding making a difference. 

You will also get the opportunity to use your expertise to influence our journey towards cloud.


Being a team of 9, with java developers, a QA engineer, and a product owner also acting as a Scrum Master, the EIM team is a perfect place to grow and develop both personally and professionally. As the team is not that big, you will get the chance to shine and explore multiple areas. We are a proud team of different nationalities and backgrounds, and we work with both modern technologies and a bit of legacy which we gradually are moving away from, hopefully with you onboard to help us forward!
We believe that you have

 - At least 4 years' experience working with Java
 - Experience working with Spring & Spring boot
 - Experience in SQL server
 - Experience in Rest API
 - Experience in public cloud
 - Experience in microservices
 - Experience working with eCommerce or Product Information Management is considered a plus


We believe that you are

We think that you are a curious person who always wants to learn more and who thrives working in a team of other developers and professionals. 

Become a part of our team!

Send in your application today! We will give you the tools and support you need to grow both professionally and personally. Our benefits include:

 - Health contribution of 3000 SEK yearly
 - Pension plan through Avanza
 - 30 days' vacation
 - Benefits with Benify
 - Flexibility that enables work-life balance
 - Personnel discounts in all our shops
 - 400 awesome colleagues across Europe
 - And much more!

We welcome applicants with different backgrounds and nationalities, but we do require you to have the relevant work permits.









It started with a passion for our sport, was driven by the enthusiasm of our staff and we still dare to reach out for more with love and dedication for our customers.

Join us on our quest to become the most admired retailer within the motorcycle industry and shape the way motor enthusiasts shop by offering a state-of-the-art online shopping experience built on passion, professionalism, and a good dose of rebellious spirit.

We are passionate about riding motorcycles and have an exciting program for employees who want to learn to ride or get more involved in motorsport. But non-riders are also very welcome to join of course."
1842,Mjukvaruutvecklare,Visma PubliTech AB,"Visma PubliTech är en del av Visma koncernen som är en ledande leverantör av affärskritisk programvara för ett mer effektivt och motståndskraftigt samhälle. Genom att förenkla och automatisera arbetet för företag och organisationer i alla storlekar förbättrar vi människors vardag. Koncernen utgörs av 13 600 fantastiska kollegor i över 200 bolag. 

Vi söker nu en utvecklingskonsult som kommer att ha en viktig roll i processen för systemutveckling inom vårt HRM-system för offentlig sektor, Personec P. Du kommer ha en betydande del i vår pågående satsning kring resan till saas, där användarupplevelse och automation är i fokus.

Om rollen Som utvecklingskonsult kommer du att delta i hela utvecklingskedjan. Du är med från start i kravställning hos kund samt ansvarar för följande process där du jobbar med kundanpassningar och integrationer inom systemet. I rollen jobbar du i ett nära samarbete med våra applikationskonsulter där ni tillsammans med kund jobbar med kravställning och integration och kundlösningar. Efter du kartlagt behoven och identifierat lösningen startar utvecklingsarbetet där du jobbar iterativt nära kunden till leverans. Du stödjer även kunden i testning, felrättningar och utbildning inom systemet.

Dina främsta arbetsuppgifter kommer att vara:

Utveckling i C#.NET och T-SQL


Kundkontakt i form av kravställning och testning


Medverka ur ett teknisk perspektiv i våra implementationsprojekt samt utveckla kundlösningar och kundintegrationer


Stötta befintliga kunder i arbetet avseende integrationer och kundanpassade lösningar mha Personec P:s API:er, samt i de fall det behövs kundanpassade lösningar.


Tjänsten är en tillsvidareanställning med placeringsort i Göteborg, Skellefteå, Växjö eller Stockholm.


Vilka vi är Visma PubliTech är ett nybildat bolag inom Visma koncernen. Vi drar fördelarna av att vara ett mindre entreprenöriellt bolag med tight samarbete och en varm familjär kultur, samtidigt som vi ingår i en av Europas ledande IT-koncerner. Vår vision är att stärka offentlig sektor med innovativa lösningar som bidrar till maximerad verksamhetsnytta och ett hållbart samhälle.


Vem vi söker Vi söker dig som är driven och lösningsfokuserad. Du trivs med att jobba i leveransprocessen där du gärna tar en ansvarsfull roll och driver processen framåt samtidigt som du är fokuserad på effektivitet och kvalitet. För att lyckas i rollen behöver du vara en lagspelare som samarbetar effektivt med andra och gärna delar med sig av sin kunskap. Vi ser gärna att du är noggrann och har en vana att styra samt strukturera upp arbetet. Du har ett stort intresse för utveckling, system och förbättring.

För att lyckas i rollen ser vi även att du har:

Erfarenhet av systemutveckling inom objektorienterade språk som Java eller .NET


Erfarenhet inom SQL server och T-SQL


Högskole-/universitetetsexamen inom Datavetenskap/systemvetenskap/programvaruteknik eller motsvarande kunskaper förvärvade på annat sätt.


Följande kompetenser är meriterande:

Erfarenhet av tidigare konsultarbete


Erfarenhet av HRM-system




Ansökan Du söker tjänsten via länken. Vi kommer att genomföra urval och kalla till intervjuer löpande, skicka därför in din ansökan så snart som möjligt. Har du frågor eller önskar mer information om tjänsten är du välkommen att kontakta:


Varmt välkommen med din ansökan!

Läs mer om vår Privacy Statement här: https://www.visma.com/privacy/ .


Mer om Visma Hos oss jobbar du i en av Europas ledande IT-koncerner som kännetecknas av stark framåtanda, prestigelöshet och entreprenörskap. Vi är stolta över våra kompetenta och engagerade medarbetare och vi tror att engagemang skapas genom utmaningar, trygghet samt flexibilitet. Visma är mer än bara systemlösningar- våra lösningar svarar på riktiga utmaningar med syfte att förenkla våra kunders vardag och ge dem möjligheten att arbeta smartare. Vi är här för att bidra till tillväxt och välstånd för företag och samhälle. Tack vare våra lösningar förbättrar vi affärer, karriärer och liv.

Här  kan du se ett smakprov vad Visma är."
1857,Systemutvecklare/Programmerare,Re-Cas AB,"RECAS söker medarbetare med god kunskap inom MATLAB/Simulink.

Ta chansen att bli en del av ett nytt beräknings och simuleringsteam i Trollhättan.

Arbetet innefattar utveckling av algoritmer, mjukvara och test."
1862,Systemutvecklare/Programmerare,Re-Cas AB,"RECAS söker seniora beräkningsingenjörer med god erfarenhet av att leda eller bidraga i ett simuleringsteam.

Du behöver erfarenhet av liknande uppdrag.

Vi erbjuder en möjlighet att vara med från början och skapa ett beräknings och simuleringsteam."
1931,Systemutvecklare/Programmerare,MultiMind Bemanning AB,"We are currently looking for a .Net Developer to an exciting opportunity with our client who is Sweden´s leading GPS tracking company! This is a Permanent Recruitment with our client.

About the company:

Our client is a software company based in Stockholm with presence in over 150 countries to provide tracking services to customers. Founded in 2004 by a developer, they remain true to their origins - they are a technology company that is passionate about software development. They were early pioneers in the tracking industry and have used the last 15+ years to become experts.
While headquartered in Sweden, they come from around the globe. They embrace their Scandinavian roots with clean design and useful features. They leverage their diverse backgrounds to better solve problems and understand customers. They are professionals who approach problems with open minds and a commitment to create software that is enjoyable to use and highly dependable.

What you´ll do:

 • Take a part in architecting robust technical solutions for new features
 • Collaborate with our other developers to maintain and refine our existing services
 • Work with all parts of our architecture, including:

                     - Services running our tracking engine
                     - Web APIs serving data to our web interface, apps and customer integrations
                     - Databases and caches
                     - Message queues and cloud pipelines

What they use:

Their tech stack includes but is not limited to:

 • .NET and C# services
 • Docker containers
 • Feature specific databases: e.g. Cassandra, Aurora, DynamoDB
 • Serverless cloud pipelines in AWS

They are looking for a developer with a focus on quality engineering rather than the tools and frameworks that you have used.

Bonus points:

 • Experience in containers and micro-service development
 • MSc in Computer Science or equivalent

What they´d like from you:

 • You´re a team player that enjoys collaborating with developers and stakeholders
 • Industry experience in the .NET ecosystem and C#

 • A desire to work in a dynamic company with no micro-management


What client offer:

 • Work with real impact. Our client helps companies worldwide in their day to day business managing deliveries, cutting fuel emissions, ensuring the safety of their staff and much more!
 • Client has a flat hierarchy structure and your ideas will matter. Projects move from idea to construction quickly so they can focus on continuously learning.
 • Career paths aren´t set in stone. You drive your own learning and can pitch projects that you are passionate about.
 • You´re joining a collaborative team. They work hard to reach our goals but make sure to have fun on our way there. Whether it´s the annual company conference or running the half marathon together, there´s always something going on!
 • Feel free to pick the tools that make you happy. Doesn´t matter! They won´t tell you how to do your best work.
 • You´ll be working with the latest and greatest tech and tools. They are always on the look out for technologies that help in the mission. If it fits, we´ll be using it."
1932,Systemutvecklare/Programmerare,MultiMind Bemanning AB,"MultiMind has two open positions as E-commerce Developers to join our client´s new Online Sales scrum team.

This position is starting with a 6-month consultancy contract after which our client wishes to over-recruit. Start date as soon as possible with respect for possible notice period.

About the client
Our client is a leading, multinational telecommunications company located in Solna. 

About the role
Our client is currently looking to shape a new Development team in E-commerce. Because there are existing developers in the team, you don´t need many years experience; rather we are looking for your skills and eagerness to learn. Your role with be focused on backend development.

Your tasks

 • Design and develop enterprise-level e-commerce solutions using B2B Commerce/CloudCraze
 • Create integrations with both internal and external rest API´s
 • Monitor and operate platforms and services, initiate improvements and manage changes
 • Troubleshoot incidents and resolve versatile issues
 • Effectively communicate and collaborate with other teams and different stakeholders on site and/or remotely
 • Actively spar with team members in experimenting new solutions and solving problems.

Your background


 • Need previous rest API integration experience
 • Needs previous B2B Commerce/CloudCraze development experience




 • Needs to know at least 2 programming languages

Sounds interesting?

If you are up for the challenge and reckon that this position fits your profile, we would like to hear from you. We welcome applications from people from all backgrounds and with all different kinds of life experiences.

Apply today, as we are reviewing applications ongoingly and the position might be filled before the application deadline."
1990,Systemutvecklare/Programmerare,Clas Ohlson AB,"We are looking for a Data Engineer (AI). 

However, the future of retail will be different to the past, and the use of data in understanding our customers and serving their needs is critical component of this: Artificial Intelligence and Machine Learning is a major part of this agenda.



About the role

You will be working closely with the team in an agile mindset and support the organization to enable large scale advanced analytics use cases.

We are looking for Data engineers with focus on AI solutions and a passion for building advanced analytics platform and solutions which are production-ready and scalable for complex business problem solving purposes.

You will be responsible for designing, building, and maintaining high-quality, scalable solutions for large-scale machine learning purposes. This will include:

- Building AI engineering solutions to empower Data scientists in solving business problems.
- Design, implement and run data pipelines in Azure.
- Orchestrating the scheduling and integration of automated tasks in a complex system landscape
- Creating reusable datasets for use by both humans and machines


About You:

You’re a prestigeless problem solver and a person who like to challenge yourself with new tasks in a rapidly changing technology context. We see that you have experience from collaboration in data science team and knowledge within at least one programming language, preferable Python.

Other areas where we like you to have experience with is:

- Data pipelines experience in Azure or other cloud solutions
- Infrastructure as code with Terraform


It’s also a merit if you are familiar with CI/CD and DevOps and are comfortable with SQL & batch/stream processing. A university or college degree in a relevant field is desirable and you have a very good ability to express yourself in speech and writing in English.

Location: Insjön, Stockholm or Malmö

If you are a non EU-citizen, we expect you to have a valid Swedish work permit



We want you to step into this office and feel that you can be just who you are. Here is one thing that brings us all together - everything we do binds us together and that we do it together as a team. It is the core of our culture and it puts into words how we want to treat each other and our customers. We also believe in diversity and that our employees' different backgrounds, personalities, experience, and skills are the path to success. We are passionate about simplifying life. Together with you, we want to simplify everyday life for all our customers!

Application:





Last day for application is February 7

Welcome with your application! Applications are processed on an ongoing basis."
2014,Mjukvaruutvecklare,Volvo Business Services AB,"Electromobility – Software and systems


We seek persons to work with the development of the electrical propulsion systems for our construction equipment.


Electromobility systems within Driveline Systems department is responsible for development of electromobility systems including electrical motors, power electronics, energy storages, control systems and software to control the systems and complete driveline. We work with the complete development cycle from design and implementation to testing in machine. We are now looking for skilled candidates to join our team.


Role description


Electromobility is a cross functional team. That means that there is a wide variety of tasks and good possibilities to find interesting and challenging work both in the software domain as well as in system design and component development.





Typical job tasks have a broad approach, and you will have the possibility to build a general understanding of construction equipment and drive lines.


Electromobility systems is an innovative cross functional multi-national team where you will have good opportunities for personal development. We offer a wide variety of competence development and good possibilities for you to further grow and take on new challenging tasks.


We are looking for engineers with experience in electromobility components such as batteries, motors, inverters, system designers, control system developers and SW developers.


Who are you?


We believe it is the right mindset and attitude that will make a difference within our organization. You need to share our values of being customer-centric, having trust in our colleagues, driving change and dare to adapt quickly, and having passion for what we do. By this we create high performing teams.
Right now you are extra interesting for us if you would like to work with:
Energy and power management functionality
Electrical propulsion functionality including motor SW calibration
Control Software development
Electrical System design
Charging and Electrical grid solutions
Software development with focus on devops and want to work with Matlab/Simulink, C, Python, Git, Bitbucket, Gradle, CI/CD, Jenkins, Test automation etc

We think that you:

Like to work according to agile methods.
Have well proven communication and collaboration skills, the ability to create bridges for information exchange between functions and between locations.
Master creativity and innovative thinking.


Have a Master of Science degree within the areas of Electrical engineering, Mechatronics, Electronics, Software development or similar.
Experience from development in areas such as electromobility systems, automotive propulsion systems, mechatronic systems or embedded software systems.
Knowledge in any of the areas electrical system design, electric motors, power electronics, energy storages, modelling and simulation, mechatronics, control system and software development.
Ability to plan, take own initiatives and work independently as well as a team member.





So , if you you are a person who is flexible, who rather see challenges as positive and is ready to take some actions? Then we are hoping to hear from you!


We are hiring continuously through the recruitment period so please apply as soon as possible.


Curious and have some questions? 





Kindly note that due to GDPR, we will not accept applications via mail. Please use our career site."
2023,Systemutvecklare/Programmerare,Polismyndigheten,"Vill du jobba med några av Sveriges vassaste it-experter inom AI, ansiktsigenkänning och automatisk bildanalys?
Arbetsuppgifter
Hos oss kommer du arbeta i ett positivt och engagerat team som ansvarar för att utveckla och förvalta polisens verktyg för automatisk bildanalys och biometriska system. Teamet arbetar med innovativ teknik och lösningar (tex AI) främst inom området bildanalys. Vi tar fram ramverk för att automatiskt analysera stora mängder information och presenterar den så att den kan användas av förundersökningsledare, utredare eller vid rättegångar. Ofta handlar det om att i enorma mängder film, sortera och filtrera på färger, registreringsnummer eller ansikten. Vi delar även med oss av våra algoritmer och förmågor till andra it-system inom Polisen. Hos oss kommer du bidra till effektivare utredningar och till att fler brott kan klaras upp.
 Vi arbetar enligt moderna agila principer och alla i teamet är aktivt med och bidrar. Vi tar ofta fram lösningar tillsammans med den operativa verksamheten, tex NFC. Det är viktigt att ha god förståelse för hur polisen arbetar och vilka behov de har. Du kommer också att få möjlighet till studiebesök och verksamhetspraktik i den operativa polisverksamheten.
Som anställd på Linköpingskontoret får du både fördelarna av att arbeta på ett litet och familjärt kontor där alla kan påverka samtidigt som du är viktig del av en av Sveriges största och mest spännande myndigheter.
Kvalifikationer
 Vi söker dig som har:
·      Akademisk examen inom datavetenskap, systemvetenskap eller motsvarande akademisk examen inom IT. Alternativt att du har motsvarande förvärvad erfarenhet som Polismyndigheten bedömer som likvärdig
·      Erfarenhet av utveckling i Java /Angular
·      Erfarenhet av MySQL eller motsvarande SQL-databaser
·      Erfarenhet av att arbeta agilt
·      God förmåga att uttrycka dig i tal och skrift på svenska och engelska
MERITERANDE
Det är meriterande om du har:
·      Kunskap om Spring Framework och närliggande bibliotek såsom Hibernate
Erfarenhet av utveckling i Python/.NET
·      Erfarenhet av JIRA eller motsvarande verktyg för agil utveckling
·      Erfarenhetar av att utveckla för Linux/Unix
·      Har erfarenhet av continuous integration och/eller continuous delivery
·      Har erfarenhet av att arbeta på ett större företag eller myndighet
·      Har erfarenhet av att arbeta med serverkluster
·      Har erfarenhet av JBoss/Glassfish
·      Erfarenhet av utveckling i Python
PERSONLIGA EGENSKAPER
Vi söker dig som har en personlig drivkraft och som är orädd för att ta dig an komplexa arbetsuppgifter där förutsättningarna inte alltid är helt klarlagda. Det är viktigt för oss att du är en lagspelare som har lätt för att samarbeta och att du är kommunikativ eftersom vi jobbar agilt mot gemensamma mål. Du är tekniskt skicklig, prestigelös, analytisk och har god problemlösningsförmåga.
Vi kommer lägga stor vikt vid personlig lämplighet.
Beskrivning av arbetsplatsen
Som anställd på IT-avdelningen är du delaktig i ett viktigt samhällsuppdrag med många spännande verksamhetsområden och en möjlighet att göra skillnad på riktigt.
Våra system används i polisernas vardag – dygnet runt, året runt. Från ett ingripande mitt i natten till att färdigställa en förundersökning inför en rättegång.
Polisens IT-avdelning har ca 1000 anställda och ansvarar för all it som används av myndighetens ca 34 000 medarbetare.
 Kontaktpersoner:
Vill du veta mer? 
Har du frågor om rekryteringsprocessen? 

Facklig information




Övrig information:
Anställningen
Arbetsort: Linköping
Anställningsform: Tillsvidareanställning med 6 månaders provanställning
Omfattning: Heltid
Arbetstid: Dagtid
Tillträde: Enligt överenskommelse
Ansökan:
Vi ställer höga krav på våra medarbetares säkerhets- och sekretessmedvetenhet. Säkerhetsprövning med registerkontroll enligt säkerhetsskyddslagen (2018:585) genomförs innan beslut om anställning fattas. I vissa fall krävs svenskt medborgarskap. Med anställning följer en skyldighet att krigsplaceras. Läs mer om krigsplacering och säkerhetsprövning under https://polisen.se/krigsplacering och https://polisen.se/sakerhetsprovning
Ansökningar till denna befattning kommer endast tas emot via den mailadress som anges i annonsen. I ditt personliga brev och CV vill vi att du beskriver på vilket sätt du uppfyller våra efterfrågade krav och meriter. Märk din ansökan med ref.nr. A740.950/2021 i mailets ärendemening. Har du skyddade personuppgifter, referenser eller liknande information som du själv bedömer som skyddsvärd rekommenderar vi dig att du skickar din ansökan uppmärkt med ref.nr A740.950/2021 via papperspost till adressen: Polismyndigheten, Registratorskontoret, 106 75 STOCKHOLM
Polismyndigheten kommer att behandla dina personuppgifter i enlighet med reglerna i EU:s dataskyddsförordning (2016/679) och annan tillämplig dataskyddsreglering. Du kan läsa mer om vår hantering av personuppgifter på www.polisen.se/personuppgifter/rekrytering
Din ansökan är en offentlig handling enligt offentlighetsprincipen.
 Varmt välkommen med din ansökan!"
